id,producto,id_categoria,id_marca,stock,precio_unitario
112,Sierra Circular,3,3,86,"$531,659"
113,Mesa de Comedor 6 Pax,4,4,944,"$702,913"
114,Inodoro Ecológico,5,5,256,"$243,622"
115,Secadora de Ropa,1,6,958,"$32,546"
116,Smartphone 5G,2,7,461,"$784,254"
117,Destornillador Eléctrico,3,8,259,"$71,922"
118,Estantería de Madera,4,9,1,"$652,317"
119,Espejo con Luz LED,5,10,920,"$552,607"
120,Horno Eléctrico,1,1,534,"$316,565"
121,Laptop Ultrabook,2,2,804,"$419,668"
122,Mezcladora de Cemento,3,3,118,"$23,447"
123,Armario Modular,4,4,355,"$364,054"
124,Grifo Monomando,5,5,394,"$371,103"
125,Aspiradora Robot,1,6,378,"$243,237"
126,"Monitor Gaming 27""",2,7,928,"$516,105"
127,Compresor de Aire,3,8,970,"$592,260"
128,Cama King Size,4,9,355,"$584,343"
129,Bañera Esquinera,5,10,966,"$278,228"
130,Licuadora Profesional,1,1,416,"$61,482"
131,Audífonos Inalámbricos,2,2,840,"$101,897"
132,Pistola de Calor,3,3,37,"$999,890"
133,Escritorio Ajustable,4,4,649,"$554,745"
134,Toallero Calefactado,5,5,161,"$747,589"
135,Estufa a Gas,1,6,250,"$441,040"
136,Proyector HD,2,7,450,"$340,412"
137,Taladro Inalámbrico,3,8,265,"$81,415"
138,Silla Reclinable,4,9,399,"$565,916"
139,Lavamanos con Pedestal,5,10,493,"$932,544"
140,Batidora de Mano,1,1,739,"$164,250"
141,Consola de Videojuegos,2,2,177,"$743,342"
142,Cortadora de Césped,3,3,574,"$446,931"
143,Vitrina de Cristal,4,4,481,"$585,509"
144,Mampara de Ducha,5,5,220,"$368,012"
145,Aire Acondicionado Split,1,6,112,"$967,368"
146,Bocina Bluetooth,2,7,400,"$428,243"
147,Nivel Láser,3,8,518,"$670,865"
148,Aparador de Madera,4,9,890,"$732,823"
149,Inodoro Inteligente,5,10,613,"$326,500"
150,Lavadora Compacta,1,1,230,"$612,472"
151,"Televisor Smart 50""",2,2,396,"$130,453"
152,Taladro Percutor,3,3,844,"$859,631"
153,Sofá 3 Plazas,4,4,35,"$537,255"
154,Lavabo Minimalista,5,5,474,"$297,707"
155,Refrigerador Doble Puerta,1,6,288,"$468,020"
156,Cámara de Seguridad HD,2,7,972,"$889,705"
157,Martillo Neumático,3,8,420,"$237,059"
158,Silla de Oficina,4,9,929,"$292,188"
159,Ducha Termostática,5,10,564,"$411,819"
160,Microondas Digital,1,1,816,"$864,967"
161,"Tablet 10""",2,2,792,"$517,696"
162,Sierra Circular,3,3,146,"$962,180"
163,Mesa de Comedor 6 Pax,4,4,753,"$428,523"
164,Inodoro Ecológico,5,5,727,"$446,619"
165,Secadora de Ropa,1,6,612,"$441,635"
166,Smartphone 5G,2,7,367,"$3,286"
167,Destornillador Eléctrico,3,8,358,"$122,035"
168,Estantería de Madera,4,9,309,"$981,054"
169,Espejo con Luz LED,5,10,171,"$667,529"
170,Horno Eléctrico,1,1,139,"$273,439"
171,Laptop Ultrabook,2,2,120,"$654,313"
172,Mezcladora de Cemento,3,3,677,"$579,884"
173,Armario Modular,4,4,700,"$873,937"
174,Grifo Monomando,5,5,469,"$284,424"
175,Aspiradora Robot,1,6,649,"$590,396"
176,"Monitor Gaming 27""",2,7,219,"$961,173"
177,Compresor de Aire,3,8,830,"$883,779"
178,Cama King Size,4,9,232,"$103,979"
179,Bañera Esquinera,5,10,6,"$986,048"
180,Licuadora Profesional,1,1,448,"$292,609"
181,Audífonos Inalámbricos,2,2,836,"$265,580"
182,Pistola de Calor,3,3,628,"$493,324"
183,Escritorio Ajustable,4,4,8,"$115,122"
184,Toallero Calefactado,5,5,941,"$167,528"
185,Estufa a Gas,1,6,799,"$714,926"
186,Proyector HD,2,7,651,"$75,943"
187,Taladro Inalámbrico,3,8,455,"$960,980"
188,Silla Reclinable,4,9,601,"$151,873"
189,Lavamanos con Pedestal,5,10,387,"$705,636"
190,Batidora de Mano,1,1,905,"$212,837"
191,Consola de Videojuegos,2,2,480,"$489,346"
192,Cortadora de Césped,3,3,236,"$43,566"
193,Vitrina de Cristal,4,4,508,"$738,058"
194,Mampara de Ducha,5,5,630,"$48,292"
195,Aire Acondicionado Split,1,6,529,"$756,882"
196,Bocina Bluetooth,2,7,925,"$102,963"
197,Nivel Láser,3,8,442,"$12,732"
198,Aparador de Madera,4,9,425,"$878,968"
199,Inodoro Inteligente,5,10,205,"$118,084"
200,Lavadora Compacta,1,1,767,"$32,560"
201,"Televisor Smart 50""",2,2,444,"$507,477"
202,Taladro Percutor,3,3,37,"$601,533"
203,Sofá 3 Plazas,4,4,375,"$141,850"
204,Lavabo Minimalista,5,5,404,"$410,560"
205,Refrigerador Doble Puerta,1,6,966,"$248,917"
206,Cámara de Seguridad HD,2,7,518,"$494,850"
207,Martillo Neumático,3,8,483,"$368,096"
208,Silla de Oficina,4,9,107,"$616,887"
209,Ducha Termostática,5,10,816,"$31,088"
210,Microondas Digital,1,1,213,"$8,467"
211,"Tablet 10""",2,2,962,"$698,985"
212,Sierra Circular,3,3,324,"$28,228"
213,Mesa de Comedor 6 Pax,4,4,617,"$960,455"
214,Inodoro Ecológico,5,5,352,"$542,062"
215,Secadora de Ropa,1,6,31,"$47,634"
216,Smartphone 5G,2,7,357,"$405,074"
217,Destornillador Eléctrico,3,8,823,"$981,985"
218,Estantería de Madera,4,9,412,"$427,951"
219,Espejo con Luz LED,5,10,889,"$846,530"
220,Horno Eléctrico,1,1,197,"$946,115"
221,Laptop Ultrabook,2,2,448,"$975,192"
222,Mezcladora de Cemento,3,3,98,"$455,002"
223,Armario Modular,4,4,526,"$158,436"
224,Grifo Monomando,5,5,640,"$441,091"
225,Aspiradora Robot,1,6,404,"$103,009"
226,"Monitor Gaming 27""",2,7,493,"$312,248"
227,Compresor de Aire,3,8,968,"$421,331"
228,Cama King Size,4,9,497,"$319,487"
229,Bañera Esquinera,5,10,977,"$839,336"
230,Licuadora Profesional,1,1,874,"$269,564"
231,Audífonos Inalámbricos,2,2,701,"$316,327"
232,Pistola de Calor,3,3,110,"$163,217"
233,Escritorio Ajustable,4,4,580,"$508,766"
234,Toallero Calefactado,5,5,762,"$263,545"
235,Estufa a Gas,1,6,494,"$846,531"
236,Proyector HD,2,7,387,"$425,861"
237,Taladro Inalámbrico,3,8,380,"$226,223"
238,Silla Reclinable,4,9,7,"$310,497"
239,Lavamanos con Pedestal,5,10,575,"$483,611"
240,Batidora de Mano,1,1,272,"$686,696"
241,Consola de Videojuegos,2,2,742,"$846,095"
242,Cortadora de Césped,3,3,91,"$830,055"
243,Vitrina de Cristal,4,4,370,"$153,110"
244,Mampara de Ducha,5,5,906,"$755,083"
245,Aire Acondicionado Split,1,6,789,"$898,068"
246,Bocina Bluetooth,2,7,376,"$30,526"
247,Nivel Láser,3,8,593,"$908,489"
248,Aparador de Madera,4,9,711,"$337,478"
249,Inodoro Inteligente,5,10,502,"$516,244"
250,Lavadora Compacta,1,1,734,"$979,107"
251,"Televisor Smart 50""",2,2,529,"$373,065"
252,Taladro Percutor,3,3,322,"$780,292"
253,Sofá 3 Plazas,4,4,920,"$54,221"
254,Lavabo Minimalista,5,5,846,"$364,067"
255,Refrigerador Doble Puerta,1,6,742,"$416,020"
256,Cámara de Seguridad HD,2,7,556,"$611,002"
257,Martillo Neumático,3,8,990,"$417,816"
258,Silla de Oficina,4,9,458,"$235,226"
259,Ducha Termostática,5,10,318,"$76,457"
260,Microondas Digital,1,1,607,"$211,855"
261,"Tablet 10""",2,2,542,"$145,385"
262,Sierra Circular,3,3,79,"$209,772"
263,Mesa de Comedor 6 Pax,4,4,938,"$444,424"
264,Inodoro Ecológico,5,5,266,"$983,955"
265,Secadora de Ropa,1,6,669,"$917,336"
266,Smartphone 5G,2,7,906,"$721,839"
267,Destornillador Eléctrico,3,8,776,"$69,069"
268,Estantería de Madera,4,9,238,"$784,669"
269,Espejo con Luz LED,5,10,506,"$489,263"
270,Horno Eléctrico,1,1,236,"$903,789"
271,Laptop Ultrabook,2,2,230,"$472,678"
272,Mezcladora de Cemento,3,3,568,"$253,040"
273,Armario Modular,4,4,75,"$4,199"
274,Grifo Monomando,5,5,322,"$595,750"
275,Aspiradora Robot,1,6,972,"$522,393"
276,"Monitor Gaming 27""",2,7,787,"$880,452"
277,Compresor de Aire,3,8,334,"$266,720"
278,Cama King Size,4,9,322,"$798,802"
279,Bañera Esquinera,5,10,644,"$732,365"
280,Licuadora Profesional,1,1,619,"$326,920"
281,Audífonos Inalámbricos,2,2,71,"$836,096"
282,Pistola de Calor,3,3,43,"$610,496"
283,Escritorio Ajustable,4,4,846,"$54,385"
284,Toallero Calefactado,5,5,2,"$534,079"
285,Estufa a Gas,1,6,600,"$731,715"
286,Proyector HD,2,7,224,"$310,116"
287,Taladro Inalámbrico,3,8,674,"$349,479"
288,Silla Reclinable,4,9,748,"$648,310"
289,Lavamanos con Pedestal,5,10,473,"$134,793"
290,Batidora de Mano,1,1,386,"$799,150"
291,Consola de Videojuegos,2,2,205,"$530,200"
292,Cortadora de Césped,3,3,343,"$626,349"
293,Vitrina de Cristal,4,4,596,"$717,613"
294,Mampara de Ducha,5,5,694,"$43,782"
295,Aire Acondicionado Split,1,6,777,"$309,789"
296,Bocina Bluetooth,2,7,331,"$670,258"
297,Nivel Láser,3,8,188,"$135,059"
298,Aparador de Madera,4,9,851,"$513,547"
299,Inodoro Inteligente,5,10,828,"$604,070"
300,Lavadora Compacta,1,1,163,"$313,560"
301,"Televisor Smart 50""",2,2,17,"$770,382"
302,Taladro Percutor,3,3,786,"$869,175"
303,Sofá 3 Plazas,4,4,369,"$893,320"
304,Lavabo Minimalista,5,5,660,"$63,432"
305,Refrigerador Doble Puerta,1,6,197,"$48,125"
306,Cámara de Seguridad HD,2,7,753,"$308,359"
307,Martillo Neumático,3,8,827,"$269,696"
308,Silla de Oficina,4,9,21,"$993,846"
309,Ducha Termostática,5,10,654,"$492,248"
310,Microondas Digital,1,1,546,"$49,882"
311,"Tablet 10""",2,2,170,"$471,788"
312,Sierra Circular,3,3,854,"$579,788"
313,Mesa de Comedor 6 Pax,4,4,16,"$243,440"
314,Inodoro Ecológico,5,5,706,"$408,812"
315,Secadora de Ropa,1,6,711,"$940,174"
316,Smartphone 5G,2,7,797,"$362,695"
317,Destornillador Eléctrico,3,8,336,"$926,655"
318,Estantería de Madera,4,9,950,"$794,463"
319,Espejo con Luz LED,5,10,904,"$813,033"
320,Horno Eléctrico,1,1,183,"$749,295"
321,Laptop Ultrabook,2,2,494,"$607,571"
322,Mezcladora de Cemento,3,3,589,"$749,857"
323,Armario Modular,4,4,822,"$827,054"
324,Grifo Monomando,5,5,600,"$356,069"
325,Aspiradora Robot,1,6,611,"$67,747"
326,"Monitor Gaming 27""",2,7,359,"$843,779"
327,Compresor de Aire,3,8,694,"$288,799"
328,Cama King Size,4,9,358,"$833,752"
329,Bañera Esquinera,5,10,54,"$786,522"
330,Licuadora Profesional,1,1,884,"$825,220"
331,Audífonos Inalámbricos,2,2,66,"$636,536"
332,Pistola de Calor,3,3,654,"$34,773"
333,Escritorio Ajustable,4,4,893,"$824,492"
334,Toallero Calefactado,5,5,37,"$954,111"
335,Estufa a Gas,1,6,679,"$627,872"
336,Proyector HD,2,7,626,"$715,214"
337,Taladro Inalámbrico,3,8,751,"$268,712"
338,Silla Reclinable,4,9,542,"$834,490"
339,Lavamanos con Pedestal,5,10,117,"$854,215"
340,Batidora de Mano,1,1,627,"$708,150"
341,Consola de Videojuegos,2,2,76,"$24,577"
342,Cortadora de Césped,3,3,470,"$392,612"
343,Vitrina de Cristal,4,4,660,"$111,782"
344,Mampara de Ducha,5,5,758,"$643,804"
345,Aire Acondicionado Split,1,6,752,"$515,408"
346,Bocina Bluetooth,2,7,770,"$866,837"
347,Nivel Láser,3,8,517,"$136,953"
348,Aparador de Madera,4,9,112,"$850,110"
349,Inodoro Inteligente,5,10,854,"$285,988"
350,Lavadora Compacta,1,1,515,"$806,262"
351,"Televisor Smart 50""",2,2,827,"$354,909"
352,Taladro Percutor,3,3,262,"$21,190"
353,Sofá 3 Plazas,4,4,103,"$596,515"
354,Lavabo Minimalista,5,5,372,"$109,446"
355,Refrigerador Doble Puerta,1,6,358,"$580,844"
356,Cámara de Seguridad HD,2,7,209,"$606,310"
357,Martillo Neumático,3,8,212,"$842,620"
358,Silla de Oficina,4,9,670,"$79,419"
359,Ducha Termostática,5,10,871,"$66,175"
360,Microondas Digital,1,1,394,"$644,855"
361,"Tablet 10""",2,2,907,"$37,370"
362,Sierra Circular,3,3,558,"$318,528"
363,Mesa de Comedor 6 Pax,4,4,458,"$886,668"
364,Inodoro Ecológico,5,5,425,"$944,750"
365,Secadora de Ropa,1,6,872,"$652,686"
366,Smartphone 5G,2,7,950,"$40,898"
367,Destornillador Eléctrico,3,8,21,"$434,388"
368,Estantería de Madera,4,9,805,"$90,378"
369,Espejo con Luz LED,5,10,252,"$834,386"
370,Horno Eléctrico,1,1,343,"$42,532"
371,Laptop Ultrabook,2,2,213,"$690,088"
372,Mezcladora de Cemento,3,3,344,"$750,228"
373,Armario Modular,4,4,623,"$373,255"
374,Grifo Monomando,5,5,162,"$136,603"
375,Aspiradora Robot,1,6,821,"$33,983"
376,"Monitor Gaming 27""",2,7,906,"$155,018"
377,Compresor de Aire,3,8,531,"$847,346"
378,Cama King Size,4,9,948,"$333,781"
379,Bañera Esquinera,5,10,557,"$577,621"
380,Licuadora Profesional,1,1,773,"$412,616"
381,Audífonos Inalámbricos,2,2,830,"$33,275"
382,Pistola de Calor,3,3,594,"$428,694"
383,Escritorio Ajustable,4,4,683,"$393,582"
384,Toallero Calefactado,5,5,288,"$541,351"
385,Estufa a Gas,1,6,994,"$23,246"
386,Proyector HD,2,7,840,"$938,892"
387,Taladro Inalámbrico,3,8,690,"$557,671"
388,Silla Reclinable,4,9,318,"$710,806"
389,Lavamanos con Pedestal,5,10,569,"$486,317"
390,Batidora de Mano,1,1,380,"$535,891"
391,Consola de Videojuegos,2,2,532,"$624,047"
392,Cortadora de Césped,3,3,767,"$204,515"
393,Vitrina de Cristal,4,4,660,"$160,638"
394,Mampara de Ducha,5,5,310,"$204,958"
395,Aire Acondicionado Split,1,6,521,"$5,832"
396,Bocina Bluetooth,2,7,613,"$42,850"
397,Nivel Láser,3,8,152,"$975,825"
398,Aparador de Madera,4,9,71,"$377,612"
399,Inodoro Inteligente,5,10,80,"$748,615"
400,,,,894,"$39,476"
